10001;41972;Cerrado;5500
10002;17012;Recibido;1113
10003;40395;Tránsito;4730
10004;18284;Tránsito;6005
10005;14340;Cerrado;5600
10006;48407;Recibido;1190
10007;41972;Cerrado;1200
10008;16751;Tránsito;9300
10009;25948;Recibido;1500
10010;34108;Cerrado;9800
10011;20384;Tránsito;4700
10012;17012;Tránsito;6300
10013;10453;Tránsito;4900
10014;40395;Cerrado;1600
10015;14340;Recibido;2600
10016;48407;Recibido;9400
10017;17012;Tránsito;6900
10018;20384;Cerrado;1500
10019;10453;Tránsito;6000
10020;16751;Cerrado;5000
10021;41972;Recibido;883,3
10022;34108;Recibido;1004,3
10023;14330;Recibido;13249,5
10024;41972;Recibido;786,5
10025;41972;Recibido;834,9
10026;41972;Recibido;786,5
10027;41972;Recibido;695,75
10028;41972;Recibido;695,75
10029;41972;Recibido;20176,75
